                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59565,                0.84387,                 0.9552,                0.97667,                0.99396,                  0.995,                0.86398,                0.53485,                0.51799,                0.87186,             0.00036786,             0.00036786,             0.00036786
                      2,                0.57504,                0.64667,                0.94416,                0.98023,                      1,                  0.995,                0.89278,                0.45184,                0.48755,                0.88181,             0.00070166,             0.00070166,             0.00070166
                      3,                0.60936,                 0.6788,                 0.9713,                 0.9817,                      1,                  0.995,                0.88837,                0.49653,                0.48697,                 0.9066,             0.00099879,             0.00099879,             0.00099879
                      4,                0.66276,                0.73744,                  1.009,                0.94293,                      1,                  0.995,                0.87271,                0.54176,                 0.5671,                0.92929,             0.00094602,             0.00094602,             0.00094602
                      5,                0.58525,                0.65033,                0.95706,                0.98541,                      1,                  0.995,                0.87183,                0.51921,                0.48271,                0.93504,             0.00094602,             0.00094602,             0.00094602
                      6,                0.55268,                 0.6066,                0.93806,                0.98408,                      1,                  0.995,                0.89579,                0.48374,                0.47453,                0.87013,             0.00089102,             0.00089102,             0.00089102
                      7,                 0.5899,                 0.6113,                0.95578,                0.98491,                0.99407,                  0.995,                0.90156,                0.45896,                0.44019,                0.86249,             0.00083603,             0.00083603,             0.00083603
                      8,                0.56284,                0.60095,                0.96812,                0.98837,                      1,                  0.995,                0.90882,                0.46301,                0.40309,                0.89286,             0.00078103,             0.00078103,             0.00078103
                      9,                0.56627,                0.57317,                0.96535,                0.98365,                      1,                  0.995,                0.90946,                0.47684,                 0.3617,                0.88735,             0.00072604,             0.00072604,             0.00072604
                     10,                0.53294,                 0.5453,                0.94299,                0.98711,                      1,                  0.995,                0.90614,                  0.452,                0.36394,                0.88659,             0.00067104,             0.00067104,             0.00067104
                     11,                0.44544,                0.52097,                0.89246,                0.98757,                      1,                  0.995,                 0.8956,                0.47035,                0.35147,                 0.8803,             0.00061605,             0.00061605,             0.00061605
                     12,                0.44095,                0.49573,                0.87645,                0.98835,                      1,                  0.995,                0.91546,                0.49754,                0.33745,                0.89472,             0.00056105,             0.00056105,             0.00056105
                     13,                0.43232,                0.47113,                0.87511,                0.98929,                      1,                  0.995,                0.90934,                0.42368,                0.29135,                0.87168,             0.00050606,             0.00050606,             0.00050606
                     14,                 0.4594,                0.46103,                0.88414,                0.98217,                      1,                  0.995,                 0.9022,                0.47891,                0.28741,                0.89358,             0.00045107,             0.00045107,             0.00045107
                     15,                0.44131,                0.44467,                0.88169,                0.98854,                      1,                  0.995,                0.88175,                0.50015,                0.29201,                0.89898,             0.00039607,             0.00039607,             0.00039607
                     16,                0.42797,                0.42228,                0.88405,                0.98812,                      1,                  0.995,                0.90119,                0.47247,                0.29659,                0.89862,             0.00034108,             0.00034108,             0.00034108
                     17,                0.40931,                 0.4069,                0.86527,                0.98867,                      1,                  0.995,                0.92695,                0.44443,                0.27012,                0.88251,             0.00028608,             0.00028608,             0.00028608
                     18,                 0.4028,                0.39601,                0.85991,                0.98568,                      1,                  0.995,                 0.9292,                0.42845,                0.26792,                0.87665,             0.00023109,             0.00023109,             0.00023109
                     19,                0.39415,                0.38209,                0.85861,                0.98809,                      1,                  0.995,                0.90953,                0.44776,                0.26513,                 0.8754,             0.00017609,             0.00017609,             0.00017609
                     20,                0.38555,                0.37486,                0.84474,                0.98861,                      1,                  0.995,                0.91302,                0.44317,                0.26692,                 0.8731,              0.0001211,              0.0001211,              0.0001211
