                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53171,                0.64388,                0.91944,                0.94949,                0.98656,                0.99174,                 0.9192,                0.40943,                0.47445,                 0.8292,             0.00036786,             0.00036786,             0.00036786
                      2,                0.54184,                0.60281,                0.92928,                0.97888,                0.99009,                0.99444,                0.89443,                0.44402,                0.45732,                0.85897,             0.00070166,             0.00070166,             0.00070166
                      3,                0.59409,                 0.6339,                0.96932,                0.98202,                0.99205,                0.99311,                0.92558,                0.41004,                0.41918,                0.84236,             0.00099879,             0.00099879,             0.00099879
                      4,                0.57225,                0.62499,                0.94567,                0.97963,                 0.9822,                 0.9945,                0.91096,                0.41307,                0.46008,                0.85389,             0.00094602,             0.00094602,             0.00094602
                      5,                0.59197,                0.64853,                0.96542,                  0.978,                0.99297,                  0.995,                0.90093,                0.43914,                0.41816,                0.86592,             0.00094602,             0.00094602,             0.00094602
                      6,                0.56146,                0.59064,                0.94222,                0.97631,                 0.9908,                0.99378,                0.90641,                0.48638,                0.44723,                0.87282,             0.00089102,             0.00089102,             0.00089102
                      7,                0.57602,                0.59645,                0.95026,                 0.9801,                0.99194,                0.98789,                0.89585,                0.45686,                0.42517,                0.85905,             0.00083603,             0.00083603,             0.00083603
                      8,                 0.5624,                0.57131,                0.93797,                0.97848,                0.99007,                0.98922,                  0.905,                0.42802,                0.41712,                0.84372,             0.00078103,             0.00078103,             0.00078103
                      9,                 0.5427,                0.54705,                0.93208,                0.97936,                0.99265,                0.98656,                0.91819,                0.40986,                0.37954,                0.84299,             0.00072604,             0.00072604,             0.00072604
                     10,                0.51955,                0.52745,                0.91884,                0.96675,                0.99191,                 0.9871,                0.91925,                0.40012,                0.38822,                 0.8384,             0.00067104,             0.00067104,             0.00067104
                     11,                 0.4324,                0.50139,                0.84903,                0.98266,                0.98947,                0.98804,                0.92269,                0.40746,                0.37326,                0.83748,             0.00061605,             0.00061605,             0.00061605
                     12,                0.44192,                0.48848,                0.85267,                 0.9835,                0.99011,                0.99044,                0.92062,                0.40369,                0.34248,                0.83251,             0.00056105,             0.00056105,             0.00056105
                     13,                0.41832,                0.46077,                0.86034,                0.98245,                0.98995,                0.99444,                0.92994,                0.38299,                 0.3448,                0.82208,             0.00050606,             0.00050606,             0.00050606
                     14,                0.40452,                0.44164,                0.85321,                0.98087,                 0.9901,                  0.995,                0.93987,                0.37491,                0.33068,                0.82413,             0.00045107,             0.00045107,             0.00045107
                     15,                0.39762,                 0.4276,                0.84628,                0.98526,                0.99022,                0.99244,                0.93723,                0.38222,                0.30118,                0.81998,             0.00039607,             0.00039607,             0.00039607
                     16,                0.40895,                0.41881,                0.85871,                0.98303,                0.99098,                0.99444,                0.93547,                 0.3803,                0.29468,                0.82419,             0.00034108,             0.00034108,             0.00034108
                     17,                0.39856,                0.40171,                0.84746,                0.98735,                0.99014,                  0.995,                 0.9374,                0.39399,                0.28676,                0.82908,             0.00028608,             0.00028608,             0.00028608
                     18,                0.39274,                 0.3969,                0.85041,                0.98517,                0.98938,                  0.995,                0.94083,                0.37498,                0.28582,                0.81995,             0.00023109,             0.00023109,             0.00023109
                     19,                0.38483,                0.38622,                0.83434,                0.98612,                0.98628,                  0.995,                0.94393,                0.35607,                0.27993,                0.81231,             0.00017609,             0.00017609,             0.00017609
                     20,                0.39566,                0.38772,                 0.8394,                0.98704,                0.98967,                  0.995,                0.94778,                0.35934,                0.28492,                0.81297,              0.0001211,              0.0001211,              0.0001211
